species,x,y
aqua_background,-155.62161618270832,20.060060980190617
aqua_background,-159.50809418544915,22.001184940001203
aqua_background,-155.53018633054384,19.567125840103348
aqua_background,-155.56468859732175,19.43364998203695
aqua_background,-155.29733851332156,19.82806409059652
aqua_background,-155.19769085257417,19.87775232989327
aqua_background,-155.6971082107189,19.990715488624645
aqua_background,-156.86453106487093,20.787675102750544
aqua_background,-155.48319535431898,19.170428308464114
aqua_background,-155.59437866797774,19.499245952523367
aqua_background,-155.52052844787625,19.649131248486444
aqua_background,-155.0926377236255,19.55465225245531
aqua_background,-155.93978351133592,19.837884281506444
aqua_background,-155.93984270784958,19.577431239231117
aqua_background,-155.2284882751329,19.779938678605436
aqua_background,-155.66364029391755,19.485441690634122
aqua_background,-155.75453435353273,19.24693602183692
aqua_background,-155.73291647747368,20.111863621416035
aqua_background,-155.38053415502392,19.938524402814604
aqua_background,-155.47088595105018,19.875337215722542
aqua_background,-154.99711896955196,19.3921743302614
aqua_background,-155.85488816870904,19.679501437262115
aqua_background,-155.70083160332018,19.303754227425767
aqua_background,-156.90924428994128,20.897382890576868
aqua_background,-155.66260716652107,19.603346214587887
aqua_background,-158.06498195082474,21.62685558792343
aqua_background,-157.65213258707286,21.30899674339528
aqua_background,-155.83961562989506,20.21967504942702
aqua_background,-155.44519193364076,19.95257863908823
aqua_background,-155.49763631103468,19.251025156796715
aqua_background,-155.05852353758618,19.44054593189003
aqua_background,-155.66433905112396,18.990357369486738
aqua_background,-157.82154317747705,21.34078161782625
aqua_background,-155.48892306321795,19.906716195612237
aqua_background,-155.88000355353202,20.21855097262858
aqua_background,-155.26526533796442,19.31557935150542
aqua_background,-155.91674479650322,19.696881739163018
aqua_background,-155.69774984174487,19.517104336976132
aqua_background,-155.8346913139526,20.205881709599222
aqua_background,-159.66102338195864,22.11201922796957
aqua_background,-156.62349291832018,20.847842130206452
aqua_background,-155.35887698818638,19.409036346418766
aqua_background,-155.10130959073462,19.635984055764183
aqua_background,-155.40839392184114,19.267074387963888
aqua_background,-155.24272219214782,19.849932768362095
aqua_background,-156.64179400339722,20.522699616870284
aqua_background,-157.89201686566565,21.513282159303625
aqua_background,-159.47135150579587,21.99158075130296
aqua_background,-155.8995725583792,19.86040370100717
aqua_background,-155.2950182601667,19.613893811649962
aqua_background,-155.35258905944386,19.697718339867777
aqua_background,-156.40315674633405,20.66590471881343
aqua_background,-157.85815383768568,21.406013102399555
aqua_background,-155.17822172946956,19.50061466640589
aqua_background,-155.37105628588287,19.86007952580324
aqua_background,-155.00812877359596,19.425534321837205
aqua_background,-155.52225020224495,19.978703081242237
aqua_background,-157.95830091042183,21.59050058882658
aqua_background,-159.42229857215176,22.09525187404018
aqua_background,-155.3332461226953,19.379270631949243
aqua_background,-155.4785738024939,19.263159859135495
aqua_background,-155.8273009599987,20.19491416605593
aqua_background,-159.5802021593214,22.05442602135435
aqua_background,-155.75965795560637,19.969591460354753
aqua_background,-155.37599780935935,19.8477943691174
aqua_background,-155.68660945262627,20.070799208637528
aqua_background,-159.64424297031277,22.07034498547279
aqua_background,-156.23584967148216,20.70343045152012
aqua_background,-155.84631763670316,19.099358824386073
aqua_background,-159.67825465728058,22.05328934864545
aqua_background,-155.63998613920867,19.136486066334044
aqua_background,-155.79454412102655,19.267798441500844
aqua_background,-159.5629142660342,22.09047872766969
aqua_background,-155.84437876321644,19.503287223357002
aqua_background,-155.06568338621307,19.63814927858933
aqua_background,-155.8592247187648,19.725543632896354
aqua_background,-156.26559367872667,20.940376981555936
aqua_background,-155.68454282127047,19.944419477196043
aqua_background,-155.83442798783537,19.487252431522503
aqua_background,-155.717694624805,19.633093590829894
aqua_background,-155.3816849450119,19.35362254680546
aqua_background,-155.75042451594265,19.680045956725653
aqua_background,-155.7848973124546,19.823110215510777
aqua_background,-155.39168164737822,19.50097895313179
aqua_background,-159.40056465260182,22.12230690543089
aqua_background,-155.74120463976874,19.368868211679093
aqua_background,-155.23233675907082,19.485953786729212
aqua_background,-155.71880328960196,19.537468180318704
aqua_background,-155.74976280305836,19.0268172300181
aqua_background,-158.19700988387407,21.53696557582999
aqua_background,-156.09939851008784,20.80416657933931
aqua_background,-155.30429439324087,19.731771653051382
aqua_background,-156.5566466298719,20.88759514524112
aqua_background,-156.5515517751548,20.974366395712295
aqua_background,-155.49148910971658,19.877748862479123
aqua_background,-155.18349709513285,19.589628126493576
aqua_background,-155.7689335845948,19.38970074493707
