x,y
-156.32697206913028,20.88850334561909
-156.41921493220846,20.792722513371363
-156.49873665510603,20.810619913104347
-156.46028012108704,20.835455801182576
-156.3363393703948,20.894785678212312
-156.50761097932497,20.836228492622457
-156.4807272360543,20.809278150334414
-156.36794793190202,20.921311151840804
-156.4779054384833,20.86164049749938
-156.40489154017806,20.825817705169257
-156.4945435296796,20.84141187126533
-156.39833292695747,20.854377193153578
-156.41063473517985,20.84097471588151
-156.42763000750188,20.858340421297406
-156.4673037830237,20.83700879989193
-156.37320684714456,20.90119057683116
-156.46187265706425,20.80918067586846
-156.40104705607277,20.838013424692008
-156.38677428896582,20.858626597819622
-156.4373322774097,20.843143993777396
-156.4251350202569,20.840725603538903
-156.45202901769701,20.833498717140568
-156.3314307218585,20.896651050999107
-156.4273218671837,20.80758718562748
-156.4884090003034,20.840324140863704
-156.39896263175524,20.864071568439485
-156.38560864221142,20.826028846400938
-156.4223122248136,20.83681138079826
-156.33267506908726,20.899579961688875
-156.45987998941843,20.807537386960632
-156.34372330509737,20.92041172562571
-156.3867383739217,20.83490884884209
-156.42656036185528,20.882989397408142
-156.40707411556073,20.868785837109566
-156.42510216333747,20.842395823812943
-156.43678433120638,20.822719808894906
-156.40766067883823,20.842332342991096
-156.44127708910412,20.862164426716085
-156.4205459717555,20.827531503778268
-156.36383732847494,20.86468974826154
-156.4099886791976,20.811325634361243
-156.44690134910346,20.84740738517059
-156.34488476868384,20.939324221565762
-156.4550944372591,20.805785553917445
-156.37385465104197,20.827985445610835
-156.47664260027514,20.855585339211032
-156.39374539208632,20.87193774111925
-156.50304213757022,20.80428807465817
-156.34641398151885,20.88084684032689
-156.39184444448114,20.886874678430694
-156.46097348449882,20.80531438550903
-156.33678923670666,20.88736940310085
-156.38568948137814,20.912728193186467
-156.43739124895373,20.852319838366963
-156.50284132416914,20.813548608245984
-156.37401221768226,20.862842491457663
-156.4950820941902,20.844955236934776
-156.39545402949977,20.82800819936289
-156.45732709413485,20.83506758546544
-156.43244036584548,20.79473960847288
-156.45307558202975,20.878502981734478
-156.37394203084676,20.91837876850842
-156.42309415583804,20.856446319560302
-156.38568632080396,20.89403030298967
-156.38942904613393,20.903837732187927
-156.40246877380068,20.813091769498445
-156.33935201976269,20.914751719610354
-156.41245034088323,20.89217328477325
-156.34729305632413,20.879482550003434
-156.48423455419845,20.83942773302962
-156.4372577658026,20.83837745797485
-156.35309537190886,20.868333402589837
-156.35345472635018,20.914374740023998
-156.39434444045048,20.849606042150114
-156.47195814064284,20.8194612195968
-156.3973388987144,20.885079300668487
-156.48583972940796,20.841057265583636
-156.43920651989478,20.797130315004274
-156.38799729698061,20.82515761991001
-156.35765825192732,20.844965958066396
-156.46882885184294,20.85298876237864
-156.41552197728006,20.889954469444294
-156.38273699905088,20.888157959097178
-156.47099968988206,20.861941935502
-156.38087716637216,20.9040078556645
-156.37118130051903,20.831961088846555
-156.50245167010812,20.833375109654558
-156.3321379474219,20.896635669177158
-156.46338213373417,20.868603348224063
-156.3908454520461,20.85728913928291
-156.42488175890023,20.884801358684694
-156.4271718020757,20.815268315119877
-156.33335993357872,20.90912713841147
-156.44340621180075,20.86794986031795
-156.51172518505726,20.838584483268413
-156.37862425966586,20.903900531941588
-156.44465756355999,20.872160627367368
-156.50554984124668,20.822834932408956
-156.47424225804355,20.838967019154268
-156.34816321914727,20.875987896379964
