species,x,y,precip
background_sugar,-155.8418384,19.40185045,10
background_sugar,-155.8425387,19.09133576,10
background_sugar,-155.5644063,19.97270453,10
background_sugar,-155.8004601,19.1450384,10
background_sugar,-158.129759,21.55908212,10
background_sugar,-155.2363172,19.75740671,10
background_sugar,-155.4710508,19.40369656,10
background_sugar,-155.3921941,19.46677317,10
background_sugar,-155.5346724,19.83061306,10
background_sugar,-155.6828064,18.94498609,10
background_sugar,-155.6010466,19.4701043,10
background_sugar,-155.6311209,19.28661624,10
background_sugar,-155.3555496,19.91754118,10
background_sugar,-159.4324032,22.11915021,10
background_sugar,-155.5477884,19.11408453,10
background_sugar,-155.5215692,19.79973956,10
background_sugar,-155.8567324,19.53160038,10
background_sugar,-155.3855287,20.06143218,10
background_sugar,-155.4475516,19.5903582,10
background_sugar,-155.3850124,19.5749192,10
background_sugar,-155.8483412,19.48015798,10
background_sugar,-155.4643777,19.42843671,10
background_sugar,-156.3849208,20.79680777,10
background_sugar,-156.2149802,20.75064542,10
background_sugar,-156.0185615,19.65660335,10
background_sugar,-155.5410165,19.3832405,10
background_sugar,-155.4277384,19.94792466,10
background_sugar,-155.8268869,19.32402168,10
background_sugar,-155.8680374,20.26795407,10
background_sugar,-155.512704,19.6638123,10
background_sugar,-155.8812513,19.57468191,10
background_sugar,-155.2233345,19.48907273,10
background_sugar,-155.379685,19.94312229,10
background_sugar,-156.5962782,21.01005973,10
background_sugar,-156.3862089,20.72198229,10
background_sugar,-155.2879732,19.34703376,10
background_sugar,-155.5139776,19.48464486,10
background_sugar,-157.9042678,21.54689709,10
background_sugar,-155.7068921,20.01749053,10
background_sugar,-155.2039163,19.55620517,10
background_sugar,-155.5877451,19.94019712,10
background_sugar,-155.5280282,19.53824589,10
background_sugar,-155.7193035,19.53388195,10
background_sugar,-155.2237949,19.28251719,10
background_sugar,-155.6194222,19.94520561,10
background_sugar,-155.8077604,19.20302803,10
background_sugar,-155.1359773,19.64308651,10
background_sugar,-155.787651,19.35368938,10
background_sugar,-155.737031,20.05367734,10
background_sugar,-155.6485307,19.29658669,10
background_sugar,-155.8993576,19.24713029,10
background_sugar,-155.2153682,19.79661097,10
background_sugar,-155.326073,19.97538026,10
background_sugar,-155.2214662,19.33857134,10
background_sugar,-155.8723556,20.17897547,10
background_sugar,-155.9320534,19.66079795,10
background_sugar,-155.554132,19.99749681,10
background_sugar,-156.9190684,20.8443505,10
background_sugar,-156.5931035,20.9554672,10
background_sugar,-156.3202614,20.82857279,10
background_sugar,-157.9697605,21.51040406,10
background_sugar,-155.8366505,19.97005615,10
background_sugar,-155.3938423,19.28303599,10
background_sugar,-155.4765899,19.61479686,10
background_sugar,-155.8540145,19.25487596,10
background_sugar,-156.2427904,20.90715719,10
background_sugar,-155.277441,19.63038679,10
background_sugar,-155.5617521,19.93234022,10
background_sugar,-155.6401956,19.47508576,10
background_sugar,-155.3947835,19.43606163,10
background_sugar,-157.8601717,21.4160294,10
background_sugar,-155.7404217,19.95322046,10
background_sugar,-156.2612805,20.77988341,10
background_sugar,-155.4352946,19.62968293,10
background_sugar,-155.5699226,19.43522397,10
background_sugar,-155.4176735,19.50259844,10
background_sugar,-159.5227387,22.03282481,10
background_sugar,-155.4395091,19.4441014,10
background_sugar,-159.4833726,22.08900946,10
background_sugar,-155.8124554,20.24962611,10
background_sugar,-155.3148448,19.93022741,10
background_sugar,-155.5104322,20.07532958,10
background_sugar,-155.5844277,19.27352511,10
background_sugar,-156.861426,20.76214286,10
background_sugar,-156.1316986,20.65408323,10
background_sugar,-156.1981701,20.77179621,10
background_sugar,-155.1835535,19.80765592,10
background_sugar,-156.7578576,21.159458,10
background_sugar,-156.651316,20.51851767,10
background_sugar,-155.2751057,19.86075982,10
background_sugar,-159.7497791,22.00365504,10
background_sugar,-156.3944746,20.64831846,10
background_sugar,-156.0829447,20.71303094,10
background_sugar,-155.8035948,19.13788529,10
background_sugar,-159.4457733,22.06396228,10
background_sugar,-156.1066868,20.70207387,10
background_sugar,-155.6376828,19.32118299,10
background_sugar,-158.2181603,21.54624306,10
background_sugar,-156.163159,20.75743371,10
background_sugar,-155.567707,19.41876118,10
